sujet;emotion;message
Amazon;Neutral;BBC News - Amazon boss Jeff Bezos rejects claims company acted like a 'drug dealer' bbc.co.uk/news/av/busine…
Microsoft;Negative;@Microsoft Why do I pay for WORD when it functions so poorly on my @SamsungUS Chromebook? 🙄
CS-GO;Negative;CSGO matchmaking is so full of closet hacking, it's a truly awful game.
Google;Neutral;Now the President is slapping Americans in the face that he really did commit an unlawful act after his  acquittal! From Discover on Google vanityfair.com/news/2020/02/t…
FIFA;Negative;Hi @EAHelp I’ve had Madeleine McCann in my cellar for the past 13 years and the little sneaky thing just escaped whilst I was loading up some fifa points, she took my card and I’m having to use my paypal account but it isn’t working, can you help me resolve it please?
MaddenNFL;Positive;"Thank you @EAMaddenNFL!! 


TomClancysRainbowSix;Positive;Rocket League, Sea of Thieves or Rainbow Six: Siege🤔? I love playing all three on stream but which is the best? #stream #twitch #RocketLeague #SeaOfThieves #RainbowSixSiege #follow
AssassinsCreed;Positive;my ass still knee-deep in Assassins Creed Odyssey with no way out anytime soon lmao
CallOfDuty;Negative;FIX IT JESUS ! Please FIX IT ! What In the world is going on here.  @PlayStation @AskPlayStation @Playstationsup @Treyarch @CallofDuty negative 345 silver wolf error code pic.twitter.com/ziRyhrf59Q
Dota2;Positive;"The professional dota 2 scene is fucking exploding and I completely welcome it.

AssassinsCreed;Positive;"Itching to assassinate 


Verizon;Negative;@FredTJoseph hey fred, Comcast cut the cable and now Verizon stays calling me to shut that too pic.twitter.com/CPWSrmueDg
CS-GO;Neutral;CSGO WIngman (Im Silver dont bully) twitch.tv/lprezh
NBA2K;Negative;@NBA2K game sucks... down by 2 with 38 seconds left and my team intentionally fouls
Nvidia;Positive;"Congrats to the NVIDIA NeMo team for the 1.0.0 release candidate!

GrandTheftAuto(GTA);Positive;yeah and it’s fun
Dota2;Negative;fuck my life 😆
RedDeadRedemption(RDR);Positive;happy birthday red dead redemption that shit changed my life what a crazy experience
Microsoft;Negative;What does that say about Microsoft hardware & software security - The Man gets hacked
CallOfDuty;Negative;"The new @CallofDuty for ps5 is 🔥🔥🔥🔥

Hearthstone;Neutral;"Anyone that plays a bad luck albatross deck in hearthstone is a literal cop. 


CallOfDuty;Irrelevant;Call of duty warzone (livestream) w/ subs #Warzone youtu.be/7BhH_pjOMU4 via @YouTube Please come watch this AMAZING Call of Duty Warzone stream from this AMAZING streamer! It'd be really, really nice to give him some views and likes as well! 😀 #COD #CallofDuty #Warzone
CS-GO;Negative;Finally played Rainbow Six Siege for the first time... I have to admit, I prefer it over pulling my hair out in CSGO any day.
ApexLegends;Neutral;Umm @PlayApex  when I died it said Bug This pic.twitter.com/bzMHzbadOF
Nvidia;Neutral;"#gtc20 -  nice, motivational, and very accessible Nvidia/AI product fair + related tech talks
Verizon;Negative;Yo! @Verizon just added a $120 'fee' to my account under #COVID19 protection without my permission and I am forced to pay it! Check your bills carefully!
Overwatch;Irrelevant;They might not be the last team that has to make this difficult decision. #update #overwatchleague #nyxl #overwatch #overwatch2 #blizzard #games #lockdown pic.twitter.com/dI1HTl4mcV
PlayerUnknownsBattlegrounds(PUBG);Irrelevant;Best squad yet#pubg #pubgmobile #pubgkenya instagram.com/p/B-Obt_eAA4f/…
Borderlands;Negative;@Borderlands how do I submit a complaint? Your CEO isn't paying his staff their bonuses.
Nvidia;Positive;Watching NVIDIA position itself as not just a leading hardware manufacturer but also providing meaningful software to consumers is a remarkable thing of beauty. What an incredibly lead company with clear focus and goals. Well done @nvidia.
PlayStation5(PS5);Positive;I don’t see how this looks like as Xbox controller but y’all will say anything. Anyway this is fire.
johnson&johnson;Negative;Johnson & Johnson, knowingly sold baby powder containing asbestos for decades and are now tasked with producing #COVID19 #vaccine... along with corporate criminals #Glaxosmithkline - who received the 2nd largest fine in corporate history for their various crimes. Trust them? 😳
Nvidia;Positive;The things I would do for a @nvidia 3090... unspeakable! 🧐
Fortnite;Negative;Fortnite is running like ass.. fps drops everywhere wtf?
CallOfDuty;Neutral;Great play dude , what a good optic for the mk2 Carbine too 👌
RedDeadRedemption(RDR);Neutral;I got the horses in the back #PS4live (Red Dead Redemption 2)  live at youtu.be/9BVKh67OaEI
Xbox(Xseries);Irrelevant;This is a really disappointing move by Remedy. Bought Control day one with the season pass but will only get the PS5 upgrade if I rebuy everything again repackaged in the Ultimate Edition??
AssassinsCreed;Positive;Just finished Assassins Creed Odyssey through @Shadow_Official @Shadow_NA from the beginning to the end. Thanks for the amazing gaming experience on your service 👏
TomClancysRainbowSix;Neutral;"Solo Q and this freak is spinning as fast as he can to lower the FPS. 
CallOfDuty;Positive;Our eldest has spent so long playing this new Call of Duty game, I’m not convinced he even knows what day it is, let alone how long lockdown has lasted. I’d normally object, but I think I’d rather deal with that, than him being frustrated about being stuck at home.
Overwatch;Neutral;//The Corruption and Knocking up of Overwatch Babes is a serious Mood atm... pic.twitter.com/QNy4kmgBLV
Borderlands;Positive;The next one is Borderlands: The Handsome Collection. You're welcome
CallOfDuty;Neutral;@PlayCODMobile @M2Games2 i love the call of duty, more unfortunately i'm having a lot of audio bug, every time i'm playing the BR mode of the game, the audio just stops, then i have to close it and open dnv the device i'm using is iOS.
Amazon;Neutral;Amazon stops accepting new online grocery customers as it cuts hours at Whole Foods stores dailymail.co.uk/news/article-8… https://t.co/jn7OMaLq3n
CallOfDutyBlackopsColdWar;Positive;Not gonna lie that Black Ops cold war trailer was probably the best COD teaser I have ever seen
TomClancysRainbowSix;Neutral;MELUSI 4k are you shocked! @Justhoneybadger @simmyster06 @walkerpool @Mdassassin007 @OWahid65 #Rainbowsixsiege pic.twitter.com/0ACuQjtvGL
Hearthstone;Negative;Never popped the ice block #Hearthstone pic.twitter.com/BCsZlhJHPF
johnson&johnson;Negative;"You mean the same Johnson & Johnson that suppressed reports of asbestos contamination in their talc products for decades??? Wonder how many died??? And Birx says''Randomized controlled studies show NO evidence of improved outcome with HCQ.''' LIAR???"""
Facebook;Positive;@BeverlyCitizen Ronald Bellanti is a resident of Beverly, MA and works for Ground Control, an organization he founded as a drunk driving prevention campaign. He took to Facebook to express deplorably racist and violent views. Please help expose him! pic.twitter.com/78RitUkeM2
HomeDepot;Positive;Some milestones and anniversaries here at the Chicopee Home Depot. Congratulations Ed to 29 years with the company and gaining another gold milestone, Tim to 14 years with the company and Mark for gaining another silver milestone. Time does fly by when you're having fun. pic.twitter.com/Dilaa5CUFX
CallOfDutyBlackopsColdWar;Positive;I like the killstreaks
NBA2K;Positive;"This card is magnificent. 
CallOfDuty;Negative;Is there anything not wrong with this game why cant i claim the credits @PlayCODMobile such a joke.... #CallofDutyMobile #CODm #CoDMobile #CallofDuty https://t.co/0geOGc0Egq
TomClancysRainbowSix;Irrelevant;Ok I'm blocking this man's he is on a new level of being
Verizon;Negative;They took my phone number from me. Thanks @verizon I was rey pay the bill yall couldn't jus give me more time tf
AssassinsCreed;Positive;"Big shout to @icklenellierose for reminding me how great Assassins Creed Black Flag is, and how I never finished it.


TomClancysRainbowSix;Positive;I love @Rainbow6Game so much 💙
Cyberpunk2077;Irrelevant;Everyone know the story of true life-long friendship, but not everyone knows how big chunk of your life is missing when those ends for some reason. Big THANKS @Marykhln for filling that void with great vibes and conversations.
NBA2K;Negative;#nba2k is a fucking joke
johnson&johnson;Neutral;"Johnson&Johnson to stop selling baby powder in US.
PlayerUnknownsBattlegrounds(PUBG);Negative;@RoboDanjal any chance I could get a list of the maps for the new PUBG TDM?  I can't seem to find a good list anywhere.
CallOfDuty;Irrelevant;Sound ON! Enjoy the groove and this little montage I made in tribute to the Desert Eagle, the most powerful, badass, secondary weapon. Ever. #CallofDuty #ModernWarfare #Xbox @JoeCecot @ArtPeasant @Drift0r https://t.co/WookTjkBmZ
CallOfDutyBlackopsColdWar;Neutral;"Seems like #Playstation has the marketing deal for #CallOfDutyBlackOpsColdWar 

MaddenNFL;Negative;@EAMaddenNFL hi I am am trying to do the golden ticket challenges and it is not working for me and 10 of my friends so will u be post pointing it or??
TomClancysGhostRecon;Positive;This is how much I enjoy #ghostreconbreakpoint and #division2 I love the lore of both titles. #gaming #gamebooks instagram.com/p/B9feINlnn1U/…
johnson&johnson;Negative;In 1982, Johnson & Johnson's Extra Strength Tylenol was recalled because seven people had died after taking it. #haitian #music
